Country,Capital,Languages,Population
United States,"Washington, D.C.",English,692683
France,Paris,French,2161000
Japan,Tokyo,Japanese,13515271
Germany,Berlin,German,3769495
Canada,Ottawa,"English, French",1393000
Brazil,Brasília,Portuguese,3094325
India,New Delhi,"Hindi, English",31000000
Australia,Canberra,English,462000
China,Beijing,Mandarin,21893095
Russia,Moscow,Russian,12655050
